anime,song,year,type,views,rating
One Piece,Blue Bird,2001,Opening,480745,1.6
One Piece,Go!!!,2003,Opening,791439,1.2
One Piece,We Are,2004,Ending,799458,9.0
Naruto,We Are,2002,Ending,540953,3.5
Bleach,Blue Bird,2008,Opening,394328,6.2
One Piece,Asterisk,2005,Opening,788610,2.7
Naruto,Go!!!,2006,Opening,650123,4.9
Bleach,Asterisk,2008,Opening,176019,4.0
One Piece,Rolling Star,2008,Ending,219978,9.4
One Piece,We Are,2000,Opening,22487,9.9
Bleach,We Are,2002,Ending,851796,3.2
Bleach,Blue Bird,2006,Ending,537998,2.2
One Piece,Rolling Star,2006,Ending,291761,3.9
Bleach,Go!!!,2002,Ending,809570,1.2
Naruto,Rolling Star,2004,Opening,115365,2.7
