anime,song,year,type,views,rating
Bleach,Asterisk,2009,Opening,934619,2.4
One Piece,Asterisk,2006,Ending,62122,2.5
Naruto,We Are,2010,Ending,963805,2.5
One Piece,Asterisk,2008,Opening,328103,4.4
One Piece,Go!!!,2008,Ending,484749,3.3
One Piece,Go!!!,2003,Ending,262660,3.3
Bleach,We Are,2009,Ending,878825,3.8
One Piece,Asterisk,2004,Ending,407668,7.7
One Piece,We Are,2003,Opening,861410,3.4
One Piece,Rolling Star,2010,Ending,117051,4.9
Naruto,Go!!!,2008,Opening,504041,6.7
One Piece,Rolling Star,2008,Ending,17578,1.7
Bleach,We Are,2010,Ending,601871,5.6
Naruto,We Are,2010,Opening,142135,5.2
Naruto,Blue Bird,2005,Opening,390004,8.7
One Piece,Asterisk,2006,Ending,873629,6.5
One Piece,Asterisk,2002,Opening,962534,4.5
One Piece,Rolling Star,2006,Opening,353562,4.2
One Piece,We Are,2008,Ending,370876,1.8
Bleach,Blue Bird,2010,Ending,148320,3.7
One Piece,Go!!!,2007,Ending,815773,2.3
One Piece,We Are,2006,Ending,292919,4.1
One Piece,Blue Bird,2003,Opening,776134,2.2
Naruto,Rolling Star,2006,Ending,615991,5.7
One Piece,Blue Bird,2002,Opening,874442,6.1
Bleach,Go!!!,2002,Ending,200472,6.0
Bleach,Asterisk,2008,Ending,491072,6.1
Naruto,Blue Bird,2006,Opening,948021,8.0
