anime,song,year,type,views,rating
Naruto,We Are,2008,Opening,589471,8.8
Bleach,We Are,2006,Opening,250534,4.3
One Piece,Asterisk,2007,Opening,430731,4.5
One Piece,Go!!!,2007,Opening,611849,1.4
Bleach,We Are,2007,Opening,288648,6.4
Bleach,We Are,2001,Ending,283918,5.0
Naruto,We Are,2004,Ending,483467,4.1
One Piece,Blue Bird,2008,Opening,270456,3.7
Bleach,Go!!!,2007,Ending,264550,4.5
One Piece,Go!!!,2000,Ending,247165,6.3
Bleach,We Are,2005,Opening,482575,8.0
Naruto,We Are,2003,Ending,767261,7.6
Naruto,Blue Bird,2000,Ending,924028,1.7
One Piece,Asterisk,2003,Ending,332522,8.3
Bleach,Go!!!,2006,Opening,364733,9.0
Naruto,Asterisk,2010,Opening,356269,7.3
Naruto,Asterisk,2006,Opening,745101,7.4
One Piece,Asterisk,2001,Opening,619776,1.4
