anime,song,year,type,views,rating
Bleach,Go!!!,2003,Ending,996308,6.9
bleach,Rolling Star,2006,Opening,874262,3.9
Bleach,Blue Bird,2009,Opening,253043,6.5
Naruto,Blue Bird,2001,Opening,223507,2.6
,Asterisk,2006,Opening,708082,7.6
Bleach,go!!!,2008,Ending,54436,4.6
Naruto,We Are,2008,Opening,373246,3.6
,We Are,2004,Opening,531054,2.4
Naruto,We Are,2008,Ending,625456,9.1
,We Are,2006,Ending,,2.6
Bleach,asterisk,2007,Opening,576259,1.2
Bleach,,2006,Opening,359363,2.7
Naruto,Go!!!,2004,Opening,856259,7.0
One Piece,Go!!!,2010,Opening,693169,1.8
Naruto,Asterisk,2006,Opening,904403,4.6
One Piece,Asterisk,2000,Opening,122340,1.2
Naruto,Blue Bird,2007,Ending,287429,2.4
,We Are,2008,opening,677502,9.2
One Piece,asterisk,2005,,377203,5.0
Naruto,Asterisk,2006,Opening,816801,7.7
Naruto,We Are,2003,opening,624992,9.3
One Piece,Asterisk,2010,Opening,463550,7.6
One Piece,Asterisk,2009,Ending,611943,8.9
bleach,Rolling Star,2009,Ending,462630,8.9
Bleach,We Are,2008,Opening,624244,6.8
Naruto,Go!!!,2010,Opening,148517,1.5
One Piece,Blue Bird,2008,Opening,93231,5.0
One Piece,Asterisk,2000,Opening,33489,8.2
one piece,Go!!!,2006,Opening,380999,2.8
,Go!!!,2005,Ending,52439,6.7
Naruto,Asterisk,2005,Ending,582604,6.4
Bleach,Rolling Star,2007,Ending,230798,
