anime,song,year,type,views,rating
Naruto,Blue Bird,2005,Ending,,8.4
One Piece,Blue Bird,2001,opening,480745,1.6
,Rolling Star,2006,,875882,3.0
One Piece,Go!!!,2003,Opening,791439,1.2
One Piece,We Are,2004,Ending,799458,9.0
Bleach,Go!!!,2009,Opening,927621,
one piece,,2006,Ending,952071,
Naruto,,2009,Ending,47493,8.4
naruto,We Are,2001,,711196,9.1
bleach,Rolling Star,2004,Ending,572099,
Naruto,We Are,2002,Ending,540953,3.5
Bleach,Blue Bird,2008,Opening,394328,6.2
,Rolling Star,2005,Ending,,1.2
Bleach,Asterisk,2002,Opening,,1.8
One Piece,asterisk,2005,Opening,788610,2.7
Naruto,Go!!!,2006,Opening,650123,4.9
bleach,Asterisk,2008,Opening,176019,4.0
,We Are,2000,,,6.5
Naruto,We Are,2008,Opening,,4.7
One Piece,Rolling Star,2008,Ending,219978,9.4
One Piece,We Are,2000,Opening,22487,9.9
Naruto,Blue Bird,2005,Opening,,4.8
Naruto,Go!!!,2007,,237657,7.9
bleach,We Are,2002,ending,851796,3.2
Bleach,Blue Bird,2006,Ending,537998,2.2
Naruto,,2002,Opening,798466,2.4
One Piece,Rolling Star,2006,Ending,291761,3.9
Bleach,Go!!!,2002,Ending,809570,1.2
One Piece,,2002,Ending,,8.8
Naruto,Rolling Star,2004,Opening,115365,2.7
