anime,song,year,type,views,rating
Naruto,We Are,2008,Opening,589471,8.8
Bleach,Go!!!,2000,Ending,572565,
One Piece,Rolling Star,2008,Opening,,4.2
Bleach,We Are,2006,Opening,250534,4.3
One Piece,Asterisk,2007,Opening,430731,4.5
Bleach,Go!!!,2003,Ending,,3.7
One Piece,Go!!!,2007,Opening,611849,1.4
Bleach,We Are,2007,Opening,288648,6.4
Bleach,We Are,2001,ending,283918,5.0
Naruto,we are,2004,Ending,483467,4.1
One Piece,Blue Bird,2008,Opening,270456,3.7
Bleach,Go!!!,2007,ending,264550,4.5
,Go!!!,2006,Ending,180114,
One Piece,go!!!,2000,Ending,247165,6.3
Bleach,We Are,2005,Opening,482575,8.0
Bleach,,2007,Ending,565243,9.3
Naruto,We Are,2003,Ending,767261,7.6
Naruto,Blue Bird,2000,Ending,924028,1.7
,we are,2000,Ending,,3.7
One Piece,Asterisk,2003,Ending,332522,8.3
Naruto,Go!!!,2002,opening,,9.9
Bleach,Blue Bird,2009,,124341,7.2
Naruto,Rolling Star,2008,Opening,,8.9
,Rolling Star,2006,Ending,390404,4.3
Bleach,We Are,2003,,,9.9
bleach,Go!!!,2006,Opening,364733,9.0
Naruto,Asterisk,2010,Opening,356269,7.3
,We Are,2008,Ending,232462,7.6
Naruto,Blue Bird,2002,,,6.9
One Piece,Rolling Star,2002,Ending,,4.5
Naruto,asterisk,2006,Opening,745101,7.4
bleach,Go!!!,2009,,13820,2.1
one piece,,2008,Ending,158252,5.5
Bleach,,2002,,16130,1.4
One Piece,Asterisk,2001,Opening,619776,1.4
